ID,ATHLETE,AGE,NATION,WSR POINTS,EV1/1,EV1/2,EV1/3,EV1/4,EV1/5,EV1/6,EV2/1,EV2/2,EV2/3,EV2/4,EV2/5,EV2/6
1,Pamela Rosa,20,BRA,180000,1,1,2,,1,,1,,,,,
2,Rayssa Leal,12,BRA,148000,3,10,1,,2,1,2,,,,,
3,Aori Nishimura,18,JPN,89600,5,6,4,2,3,,3,,,,,
4,Leticia Bufoni,27,BRA,64000,4,2,6,1,,,,,,
5,Candy Jacobs,30,NED,56240,7,3,11,,4,,15,,,,,
6,Hayley Wilson,18,AUS,47500,2,4,12,,18,1,,,,,,
7,Mariah Duran,23,USA,46670,12,7,28,5,5,,8,,,,,
8,Gabriela Pereira Mazetto,22,BRA,42720,31,27,19,6,6,10,5,,,,,
9,Alexis Sablone,33,USA,35730,8,24,7,,7,,7,,,,,
10,Virginia Fortes Aguas,13,BRA,35130,13,12,26,3,9,2,6,,,,,
11,Yumeka Oda,13,JPN,26560,9,5,8,,8,3,18,,,,,
12,Roos Zwetsloot,19,NED,25580,,44,16,11,10,2,4,,,,,
13,Alana Smith,19,USA,23530,,9,3,,34,,32,,,,,
14,Margielyn Arda Didal,21,PHI,22420,19,21,5,,15,1,10,,,,,
15,Funa Nakayama,14,JPN,17100,6,18,24,8,24,1,11,,,,,
16,Isabelly µvila Da Silva,15,BRA,15030,16,15,17,7,14,3,12,,,,,
17,Rizu Akama,11,JPN,14480,,,37,4,27,2,14,,,,,
18,Momiji Nishiya,12,JPN,14180,15,13,15,9,11,5,9,,,,,
19,Wenhui Zeng,15,CHN,13910,24,31,21,10,12,1,16,,,,,
20,Keet Oldenbeuving,15,NED,12414,17,19,14,15,13,1,36,,,,,
21,Isabelle Menezes,18,BRA,7667,,,,,16,4,31,,,,,
22,Lacey Baker,28,USA,7207,10,8,22,,35,,33,,,,,
23,Kaya Isa,19,JPN,6710,14,17,29,,19,7,13,,,,,
24,Samarria Brevard,26,USA,6630,,22,9,,20,,22,,,,,
25,Kotone Nishimura,21,JPN,6488,,,32,13,17,6,42,,,,,
26,Andrea Benitez,25,ESP,5630,20,28,27,,26,1,19,,,,,
27,Asia Lanzi,18,ITA,4796,32,,33,12,33,1,44,,,,,
28,Charlotte Hym,27,FRA,4740,44,26,,,31,1,23,,,,,
29,Orapan Tongkong,22,THA,4574,25,35,39,14,47,1,46,,,,,
30,Lore Bruggeman,18,BEL,4569,,,,,40,1,28,,,,,
31,Tonje Pedersen,25,NOR,4535,39,48,31,,38,1,39,,,,,
32,Maria Jose Rojas,24,CHI,4525,52,54,50,16,50,1,37,,,,,
33,Dominika Kr likov ,27,SVK,4524,37,37,41,28,53,1,35,,,,,
34,Ariadne Souza,17,BRA,4467,,,,,21,5,25,,,,,
35,Ksenia Maricheva,18,RUS,4250,23,41,36,22,52,1,,,,,,
36,Karen Feitosa De Barros,29,BRA,3956,29,23,30,17,22,8,34,,,,,
37,Emma Lindgren,24,SWE,3800,27,,,,,1,,,,,,
38,Helena Long,29,GBR,3734,48,,,,,1,,,,,,
39,Mar Barrera,24,ESP,3560,33,,,,29,2,40,,,,,
40,Lea Schairer,31,GER,3330,,,,,,1,,,,,,
41,Ania Kulig,20,POL,3330,,,,,,1,,,,,,
42,Antonie Bako?ov ,14,CZE,3330,,,,,,1,,,,,,
43,Hannah Bertram,17,DEN,3330,,,,,,1,,,,,,
44,Heini Luotola,28,FIN,3330,,,,,,1,,,,,,
45,Marina Gabriela,17,BRA,3270,50,,23,,23,,,,,,,
46,Jennifer Schneeweiá,31,GER,3203,,,49,,41,2,38,,,,,
47,Meagan Guy,21,USA,3130,,39,13,,30,,24,,,,,
48,Kendra Long,14,USA,3100,18,32,10,26,,,,,,,,
49,Jenn Soto,24,USA,2990,11,14,,,37,,,,,,,
50,J‚romine Louvet,18,FRA,2924,54,,,,48,2,,,,,,
